Gene_ID	ESC_REDE	ESC_noclass	TSC_REDE	TSC_noclass	ESC_NEDE	TSC_NEDE	ESC_NonEnh	TSC_NonEnh	ES_E14	ES_J1	TS_EGFP	TS_Rs26	ES_mean	TS_mean	Rel_exp	ES_REDE_only	ES_NEDE_only	ES_nonEnhTE_only	No_ES_Enh_only	All
0610011L14Rik	0	0	0	0	0	0	0	0	0.6966096	1.3278248	1.9806191	1.3157746	1.0122172	1.64819685	-0.63597965	FALSE	FALSE	FALSE	TRUE	TRUE
0610012D04Rik	0	0	0	0	0	0	0	0	-4.409281	-3.9758296	-3.0236585	-2.7049162	-4.1925553	-2.86428735	-1.32826795	FALSE	FALSE	FALSE	TRUE	TRUE
0610012H03Rik	0	0	0	0	0	0	0	0	-5.9603386	-5.526888	-5.72672	-5.4079776	-5.7436133	-5.5673488	-0.1762645	FALSE	FALSE	FALSE	TRUE	TRUE
0610025J13Rik	0	0	0	0	0	0	0	0	-5.487283	-5.053832	-5.253664	-4.9349217	-5.2705575	-5.09429285	-0.176264649999999	FALSE	FALSE	FALSE	TRUE	TRUE
0610030E20Rik	0	0	0	0	0	1	0	0	0.7676179	0.8392245	1.5379905	1.8426577	0.8034212	1.6903241	-0.8869029	FALSE	FALSE	FALSE	TRUE	TRUE
0610031J06Rik	0	0	0	0	0	0	0	0	-0.32100752	-0.35769838	0.94218475	0.28990617	-0.33935295	0.61604546	-0.95539841	FALSE	FALSE	FALSE	TRUE	TRUE
0610037L13Rik	0	0	0	0	0	0	0	0	0.76605517	0.59560233	1.1541842	0.70814306	0.68082875	0.93116363	-0.25033488	FALSE	FALSE	FALSE	TRUE	TRUE
0610037P05Rik	0	0	0	0	0	0	0	0	1.4880587	1.6309199	2.506578	2.5314066	1.5594893	2.5189923	-0.959503	FALSE	FALSE	FALSE	TRUE	TRUE
0610038L08Rik	0	0	0	0	0	0	0	0	-6.1832614	-5.7498097	-5.797639	-5.6309	-5.96653555	-5.7142695	-0.252266049999999	FALSE	FALSE	FALSE	TRUE	TRUE
0610038P03Rik	0	0	0	0	0	0	0	0	-4.8405285	-4.4070773	-4.6069098	-4.2881675	-4.6238029	-4.44753865	-0.176264249999999	FALSE	FALSE	FALSE	TRUE	TRUE
0610039K10Rik	0	0	0	0	0	0	0	0	-5.2500143	-4.816563	-4.864392	-4.697653	-5.03328865	-4.7810225	-0.252266150000001	FALSE	FALSE	FALSE	TRUE	TRUE
0610040B09Rik	0	0	0	0	0	0	0	0	-4.799656	-4.366205	-4.5660367	-4.247295	-4.5829305	-4.40666585	-0.17626465	FALSE	FALSE	FALSE	TRUE	TRUE
0610040B10Rik	0	1	0	0	0	0	0	0	-4.7724547	-4.1870008	-1.2169073	-1.260735	-4.47972775	-1.23882115	-3.2409066	FALSE	FALSE	FALSE	TRUE	TRUE
0610040F04Rik	0	0	0	0	1	0	0	0	-3.6426697	-5.5311465	-3.7309785	-4.412236	-4.5869081	-4.07160725	-0.515300850000001	FALSE	TRUE	FALSE	FALSE	TRUE
0610040J01Rik	0	0	0	0	0	0	0	0	-1.3730924	-3.0551183	1.309834	0.52322346	-2.21410535	0.91652873	-3.13063408	FALSE	FALSE	FALSE	TRUE	TRUE
0610043K17Rik	0	0	2	0	0	0	0	0	-2.471496	-4.359973	-4.711808	-4.393066	-3.4157345	-4.552437	1.1367025	FALSE	FALSE	FALSE	TRUE	TRUE
0910001L09Rik	0	0	0	0	0	0	0	0	2.3167171	2.3509972	2.3370318	1.9423954	2.33385715	2.1397136	0.19414355	FALSE	FALSE	FALSE	TRUE	TRUE
1100001G20Rik	0	0	0	0	0	0	0	0	-4.1182637	-3.6848128	-3.8846447	-3.5659025	-3.90153825	-3.7252736	-0.17626465	FALSE	FALSE	FALSE	TRUE	TRUE
1110001A16Rik	0	0	0	0	0	0	0	0	2.3974395	2.362573	2.481865	2.5958827	2.38000625	2.53887385	-0.1588676	FALSE	FALSE	FALSE	TRUE	TRUE
1110001J03Rik	0	0	0	0	0	0	0	0	-0.7261792	-0.19961865	-0.31198785	-0.27335337	-0.462898925	-0.29267061	-0.170228315	FALSE	FALSE	FALSE	TRUE	TRUE
1110002B05Rik	0	0	0	0	0	0	0	0	3.4271145	3.1693187	2.8110964	2.8834493	3.2982166	2.84727285	0.45094375	FALSE	FALSE	FALSE	TRUE	TRUE
1110002E22Rik	0	0	0	0	0	0	0	0	-8.592577	-8.159126	-3.4520679	-3.718288	-8.3758515	-3.58517795	-4.79067355	FALSE	FALSE	FALSE	TRUE	TRUE
1110002L01Rik	1	1	0	0	0	0	0	0	3.1172884	3.0728917	2.4678452	2.3268983	3.09509005	2.39737175	0.6977183	TRUE	FALSE	FALSE	FALSE	TRUE
1110002N22Rik	0	0	0	0	0	0	0	0	3.3436484	3.416324	3.0705721	3.3713481	3.3799862	3.2209601	0.1590261	FALSE	FALSE	FALSE	TRUE	TRUE
1110003E01Rik	0	0	0	0	0	0	0	0	-1.6267262	-1.261179	-3.3766189	-1.2505217	-1.4439526	-2.3135703	0.8696177	FALSE	FALSE	FALSE	TRUE	TRUE
1110004E09Rik	0	0	0	0	0	0	0	0	3.334267	3.4192634	4.316486	3.8451517	3.3767652	4.08081885	-0.70405365	FALSE	FALSE	FALSE	TRUE	TRUE
1110004F10Rik	0	0	0	0	0	0	0	0	5.788035	5.918826	5.8509407	5.9921637	5.8534305	5.9215522	-0.0681216999999998	FALSE	FALSE	FALSE	TRUE	TRUE
1110005A03Rik	0	0	0	0	0	0	0	0	1.6365554	1.5389608	2.8749437	0.8693752	1.5877581	1.87215945	-0.28440135	FALSE	FALSE	FALSE	TRUE	TRUE
1110006G14Rik	0	0	0	0	1	0	0	0	-4.070958	-3.637507	-3.8373392	-3.518597	-3.8542325	-3.6779681	-0.1762644	FALSE	TRUE	FALSE	FALSE	TRUE
1110007C09Rik	0	0	0	0	0	0	0	0	-0.2119051	1.1626524	2.0360692	1.4779599	0.47537365	1.75701455	-1.2816409	FALSE	FALSE	FALSE	TRUE	TRUE
1110008E08Rik	0	0	0	0	0	0	0	0	-4.8505683	-4.417117	-4.616949	-4.298207	-4.63384265	-4.457578	-0.17626465	FALSE	FALSE	FALSE	TRUE	TRUE
1110008F13Rik	0	2	0	0	0	0	1	0	2.5956652	2.9605722	4.0493665	3.6202025	2.7781187	3.8347845	-1.0566658	FALSE	FALSE	TRUE	TRUE	TRUE
1110008J03Rik	0	0	0	0	1	0	0	0	-0.059641503	0.2826617	-0.6078423	0.047935154	0.1115100985	-0.279953573	0.3914636715	FALSE	TRUE	FALSE	FALSE	TRUE
1110008L16Rik	0	0	0	0	0	0	0	0	2.3263392	2.752082	1.8323579	2.0545924	2.5392106	1.94347515	0.59573545	FALSE	FALSE	FALSE	TRUE	TRUE
1110008P14Rik	0	0	0	0	0	0	0	0	-2.0152812	-1.4663529	0.24808508	-0.18990126	-1.74081705	0.02909191	-1.76990896	FALSE	FALSE	FALSE	TRUE	TRUE
1110012J17Rik	1	1	0	0	0	0	0	0	2.9158835	2.9635885	2.4820442	1.8508481	2.939736	2.16644615	0.77328985	TRUE	FALSE	FALSE	FALSE	TRUE
1110014N23Rik	0	0	0	0	0	0	0	0	-0.63645416	0.04906016	0.6923222	0.99873376	-0.293697	0.84552798	-1.13922498	FALSE	FALSE	FALSE	TRUE	TRUE
1110017D15Rik	0	0	0	0	1	0	0	0	-5.8294034	-5.3959527	-5.595784	-5.277042	-5.61267805	-5.436413	-0.17626505	FALSE	TRUE	FALSE	FALSE	TRUE
1110017F19Rik	0	0	0	0	1	0	0	0	-5.2904034	-4.856952	-5.056784	-4.738042	-5.0736777	-4.897413	-0.176264699999999	FALSE	TRUE	FALSE	FALSE	TRUE
1110018G07Rik	0	0	0	0	0	0	0	0	1.3134872	1.2968103	0.98332137	1.7607785	1.30514875	1.372049935	-0.0669011850000001	FALSE	FALSE	FALSE	TRUE	TRUE
1110018J18Rik	0	0	0	0	0	0	0	0	0.11840536	0.795782	1.2333801	1.0078018	0.45709368	1.12059095	-0.66349727	FALSE	FALSE	FALSE	TRUE	TRUE
1110018N20Rik	0	0	0	0	0	0	0	0	-4.2445426	-5.3960543	-4.0109234	-5.429147	-4.82029845	-4.7200352	-0.10026325	FALSE	FALSE	FALSE	TRUE	TRUE
1110020G09Rik	0	0	0	0	1	0	0	0	3.0771487	2.9445953	3.2876844	2.8660095	3.010872	3.07684695	-0.0659749500000002	FALSE	TRUE	FALSE	FALSE	TRUE
1110021J02Rik	0	0	0	0	0	0	0	0	-1.3960083	-1.3007258	-2.274282	-3.102381	-1.34836705	-2.6883315	1.33996445	FALSE	FALSE	FALSE	TRUE	TRUE
1110021L09Rik	0	0	0	0	0	0	0	0	0.102799416	-0.9815978	-1.8335065	-1.0001909	-0.439399192	-1.4168487	0.977449508	FALSE	FALSE	FALSE	TRUE	TRUE
1110025L11Rik	0	0	0	0	0	0	0	0	-3.245456	-2.8120048	-3.0118368	-2.6930945	-3.0287304	-2.85246565	-0.17626475	FALSE	FALSE	FALSE	TRUE	TRUE
1110031I02Rik	0	0	0	0	0	0	0	0	-0.27245414	0.36744782	1.4831177	0.7224256	0.04749684	1.10277165	-1.05527481	FALSE	FALSE	FALSE	TRUE	TRUE
1110032A03Rik	0	0	0	0	0	0	0	0	-1.9896172	-1.5561659	-1.1511359	-0.61282724	-1.77289155	-0.88198157	-0.89090998	FALSE	FALSE	FALSE	TRUE	TRUE
1110032A04Rik	0	0	0	0	0	0	0	0	-6.1592293	-5.725778	-5.92561	-5.606868	-5.94250365	-5.766239	-0.176264649999999	FALSE	FALSE	FALSE	TRUE	TRUE
1110032F04Rik	0	0	0	0	1	0	0	0	-4.9517837	-2.29594	-5.303127	-6.136388	-3.62386185	-5.7197575	2.09589565	FALSE	TRUE	FALSE	FALSE	TRUE
1110034A24Rik	0	0	0	0	1	0	0	0	1.3811038	2.3122437	2.78968	2.238968	1.84667375	2.514324	-0.66765025	FALSE	TRUE	FALSE	FALSE	TRUE
1110034B05Rik	0	0	1	0	0	0	0	0	1.6210395	1.7030181	2.0375226	1.4637935	1.6620288	1.75065805	-0.0886292500000001	FALSE	FALSE	FALSE	TRUE	TRUE
1110034G24Rik	0	0	0	0	1	1	0	0	-1.1650523	-0.91217345	-6.018896	-5.8521566	-1.038612875	-5.9355263	4.896913425	FALSE	TRUE	FALSE	FALSE	TRUE
1110035M17Rik	0	0	0	0	0	0	0	0	-2.6885252	-3.99204	-4.191872	-3.8731294	-3.3402826	-4.0325007	0.6922181	FALSE	FALSE	FALSE	TRUE	TRUE
1110037F02Rik	0	1	0	0	0	0	1	0	2.964811	3.240417	2.967386	3.0481846	3.102614	3.0077853	0.0948286999999999	FALSE	FALSE	TRUE	TRUE	TRUE
1110038B12Rik	0	0	0	0	0	0	0	0	3.3324692	2.9453294	3.2938013	2.1324112	3.1388993	2.71310625	0.42579305	FALSE	FALSE	FALSE	TRUE	TRUE
1110038D17Rik	0	0	0	0	0	0	0	0	-1.6373175	-1.2038662	1.1271085	0.9376454	-1.42059185	1.03237695	-2.4529688	FALSE	FALSE	FALSE	TRUE	TRUE
1110038F14Rik	0	0	1	0	0	0	0	0	3.0819373	3.1312451	3.4750347	3.2440293	3.1065912	3.359532	-0.2529408	FALSE	FALSE	FALSE	TRUE	TRUE
1110049F12Rik	0	0	0	0	0	0	0	0	2.2522314	2.1686826	2.184984	2.5570896	2.210457	2.3710368	-0.1605798	FALSE	FALSE	FALSE	TRUE	TRUE
1110051M20Rik	0	0	0	0	0	0	0	0	-0.90570414	-0.9262846	-0.04915465	-1.6048814	-0.91599437	-0.827018025	-0.088976345	FALSE	FALSE	FALSE	TRUE	TRUE
1110054O05Rik	0	0	0	0	1	0	0	0	1.7375994	1.5587808	0.93057656	0.89086497	1.6481901	0.910720765	0.737469335	FALSE	TRUE	FALSE	FALSE	TRUE
1110057K04Rik	0	0	1	0	0	0	0	0	2.635567	2.7084572	3.2824628	3.3829174	2.6720121	3.3326901	-0.660678	FALSE	FALSE	FALSE	TRUE	TRUE
1110057P08Rik	0	0	0	0	0	0	0	0	-4.1959167	-3.7624652	-3.9622972	-3.643555	-3.97919095	-3.8029261	-0.176264849999999	FALSE	FALSE	FALSE	TRUE	TRUE
1110058L19Rik	0	0	0	0	0	1	0	0	0.345729	1.264607	0.25742006	0.33104992	0.805168	0.29423499	0.51093301	FALSE	FALSE	FALSE	TRUE	TRUE
1110059E24Rik	0	0	0	0	0	1	0	0	2.2570722	1.7650703	2.474203	2.6167886	2.01107125	2.5454958	-0.53442455	FALSE	FALSE	FALSE	TRUE	TRUE
1110059G10Rik	0	0	0	0	0	0	0	0	0.35673997	0.2555336	0.121589474	0.79284835	0.306136785	0.457218912	-0.151082127	FALSE	FALSE	FALSE	TRUE	TRUE
1110059M19Rik	0	0	0	0	0	0	0	0	-5.4730563	-5.0396056	-5.2394376	-4.9206953	-5.25633095	-5.08006645	-0.176264499999999	FALSE	FALSE	FALSE	TRUE	TRUE
1110065P20Rik	0	0	0	0	1	1	0	0	-2.479282	-1.0458308	-0.4383078	-0.34195787	-1.7625564	-0.390132835	-1.372423565	FALSE	TRUE	FALSE	FALSE	TRUE
1110067D22Rik	0	1	0	0	0	0	1	0	0.28046694	1.1409281	1.226804	1.6852713	0.71069752	1.45603765	-0.74534013	FALSE	FALSE	TRUE	TRUE	TRUE
1190002H23Rik	0	0	0	0	1	1	0	0	-5.199063	-4.613609	-2.8134408	-1.3247734	-4.906336	-2.0691071	-2.8372289	FALSE	TRUE	FALSE	FALSE	TRUE
1190002N15Rik	0	0	0	0	0	0	0	0	2.5772743	2.5618753	0.4906635	-0.26013505	2.5695748	0.115264225	2.454310575	FALSE	FALSE	FALSE	TRUE	TRUE
1190003J15Rik	0	0	0	0	0	0	0	0	-1.3415658	-0.34868735	-3.033946	-2.7152038	-0.845126575	-2.8745749	2.029448325	FALSE	FALSE	FALSE	TRUE	TRUE
1190005F20Rik	0	0	0	0	0	0	0	0	2.4102654	3.01427	2.450431	3.0846176	2.7122677	2.7675243	-0.0552565999999999	FALSE	FALSE	FALSE	TRUE	TRUE
1190005I06Rik	0	0	0	0	0	0	0	0	0.9609122	1.9507567	-1.3079689	-1.2522609	1.45583445	-1.2801149	2.73594935	FALSE	FALSE	FALSE	TRUE	TRUE
1200009I06Rik	0	0	0	0	0	0	0	0	-6.8694534	-6.4360023	-0.48383084	1.5073367	-6.65272785	0.51175293	-7.16448078	FALSE	FALSE	FALSE	TRUE	TRUE
1200011I18Rik	0	0	0	0	0	0	0	0	2.2448664	2.464689	2.5932465	2.8233614	2.3547777	2.70830395	-0.35352625	FALSE	FALSE	FALSE	TRUE	TRUE
1200011M11Rik	0	0	0	0	0	0	0	0	2.7835867	3.380924	3.586414	3.5427604	3.08225535	3.5645872	-0.48233185	FALSE	FALSE	FALSE	TRUE	TRUE
1200014J11Rik	0	0	0	0	0	0	0	0	2.6158519	3.0565104	2.465409	2.6966887	2.83618115	2.58104885	0.2551323	FALSE	FALSE	FALSE	TRUE	TRUE
1200016B10Rik	0	0	0	0	0	0	0	0	1.9199159	1.8740216	1.3078803	2.1165555	1.89696875	1.7122179	0.18475085	FALSE	FALSE	FALSE	TRUE	TRUE
1300001I01Rik	0	0	0	0	0	0	0	0	2.6154575	2.8253431	2.7219915	2.2753086	2.7204003	2.49865005	0.22175025	FALSE	FALSE	FALSE	TRUE	TRUE
1300002K09Rik	0	0	0	0	1	0	0	0	-4.969129	-5.4101467	-6.609979	-7.8761992	-5.18963785	-7.2430891	2.05345125	FALSE	TRUE	FALSE	FALSE	TRUE
1300010F03Rik	0	0	0	0	0	0	0	0	1.0950589	1.205228	0.62383306	1.1090649	1.15014345	0.86644898	0.28369447	FALSE	FALSE	FALSE	TRUE	TRUE
1300014I06Rik	0	0	0	0	1	0	0	0	-1.5425029	-1.8094915	0.34822837	0.353813	-1.6759972	0.351020685	-2.027017885	FALSE	TRUE	FALSE	FALSE	TRUE
1300015D01Rik	0	0	0	0	0	0	0	0	-3.5204253	-6.086974	-7.4388094	-7.120067	-4.80369965	-7.2794382	2.47573855	FALSE	FALSE	FALSE	TRUE	TRUE
1300017J02Rik	0	0	0	0	0	0	0	0	-5.2525153	-5.819064	-7.1708994	-6.700154	-5.53578965	-6.9355267	1.39973705	FALSE	FALSE	FALSE	TRUE	TRUE
1300018I17Rik	0	0	0	0	0	0	0	0	-1.5586265	-0.74490327	-0.9985066	-1.7356174	-1.151764885	-1.367062	0.215297115	FALSE	FALSE	FALSE	TRUE	TRUE
1300018J18Rik	0	0	0	0	0	1	0	0	-2.120878	-1.9411834	0.26706925	0.1211433	-2.0310307	0.194106275	-2.225136975	FALSE	FALSE	FALSE	TRUE	TRUE
1500001M20Rik	0	0	0	0	0	0	0	0	0.95753855	1.5288488	1.2966758	1.2998356	1.243193675	1.2982557	-0.0550620249999998	FALSE	FALSE	FALSE	TRUE	TRUE
1500002C15Rik	0	0	0	0	0	0	0	0	-1.7676457	-1.8867354	-1.2385707	-1.2823985	-1.82719055	-1.2604846	-0.56670595	FALSE	FALSE	FALSE	TRUE	TRUE
1500002O10Rik	0	0	0	0	0	0	0	0	-5.230157	-4.7967057	-4.996538	-4.6777954	-5.01343135	-4.8371667	-0.17626465	FALSE	FALSE	FALSE	TRUE	TRUE
1500002O20Rik	0	0	0	0	0	0	0	0	0.11112628	0.047077805	1.3891394	0.877267	0.0791020425	1.1332032	-1.0541011575	FALSE	FALSE	FALSE	TRUE	TRUE
1500003O03Rik	0	0	0	0	0	0	0	0	2.3512385	2.5487716	3.573595	3.4093962	2.45000505	3.4914956	-1.04149055	FALSE	FALSE	FALSE	TRUE	TRUE
1500009C09Rik	0	0	0	0	0	0	0	0	-5.0995274	-5.666076	-6.0179114	-5.699169	-5.3828017	-5.8585402	0.4757385	FALSE	FALSE	FALSE	TRUE	TRUE
1500009L16Rik	0	0	0	0	0	0	0	0	2.4937754	2.426216	3.4880111	3.4172926	2.4599957	3.45265185	-0.99265615	FALSE	FALSE	FALSE	TRUE	TRUE
1500010J02Rik	0	0	0	0	0	0	0	0	1.5979377	1.8796022	2.0055861	2.8884325	1.73876995	2.4470093	-0.70823935	FALSE	FALSE	FALSE	TRUE	TRUE
1500011H22Rik	0	0	0	0	0	0	0	0	2.01471	2.0660741	4.2176514	4.006892	2.04039205	4.1122717	-2.07187965	FALSE	FALSE	FALSE	TRUE	TRUE
1500012F01Rik	0	0	0	0	0	0	0	0	2.9416666	2.2610111	3.5875776	2.5688512	2.60133885	3.0782144	-0.47687555	FALSE	FALSE	FALSE	TRUE	TRUE
1500015O10Rik	0	0	0	0	0	0	0	0	-4.021693	-4.588242	-4.9400773	-4.621335	-4.3049675	-4.78070615	0.47573865	FALSE	FALSE	FALSE	TRUE	TRUE
1500016L03Rik	0	0	0	0	0	0	0	0	-4.803796	-4.370345	-4.5701766	-4.2514343	-4.5870705	-4.41080545	-0.17626505	FALSE	FALSE	FALSE	TRUE	TRUE
1500031L02Rik	0	0	0	0	0	0	0	0	2.984223	2.8641691	3.8824801	2.049422	2.92419605	2.96595105	-0.0417550000000002	FALSE	FALSE	FALSE	TRUE	TRUE
1500032L24Rik	0	0	0	0	0	0	0	0	2.366344	2.1559389	2.2040343	2.0950284	2.26114145	2.14953135	0.1116101	FALSE	FALSE	FALSE	TRUE	TRUE
1500035N22Rik	0	0	0	0	0	0	0	0	-5.1132693	-4.6798177	-4.87965	-4.560908	-4.8965435	-4.720279	-0.1762645	FALSE	FALSE	FALSE	TRUE	TRUE
1520401A03Rik	0	0	0	0	0	0	0	0	-7.2681046	-6.834653	-7.0344853	-5.5637403	-7.0513788	-6.2991128	-0.752266000000001	FALSE	FALSE	FALSE	TRUE	TRUE
1520402A15Rik	0	0	0	0	0	0	0	0	-2.9728937	-2.8348987	-2.6868074	-1.651858	-2.9038962	-2.1693327	-0.7345635	FALSE	FALSE	FALSE	TRUE	TRUE
1600002H07Rik	0	0	0	0	0	0	0	0	1.768462	1.70631	2.2932627	2.0751987	1.737386	2.1842307	-0.4468447	FALSE	FALSE	FALSE	TRUE	TRUE
1600002K03Rik	0	0	0	0	0	0	0	0	-0.7029605	0.46745628	0.6681623	0.11243553	-0.11775211	0.390298915	-0.508051025	FALSE	FALSE	FALSE	TRUE	TRUE
1600010F14Rik	0	0	0	0	0	0	0	0	-3.36794	-2.9344888	-3.134321	-2.8155785	-3.1512144	-2.97494975	-0.17626465	FALSE	FALSE	FALSE	TRUE	TRUE
1600012F09Rik	0	1	0	0	0	0	1	0	2.9359968	3.1511123	3.3116825	3.1344671	3.04355455	3.2230748	-0.17952025	FALSE	FALSE	TRUE	TRUE	TRUE
1600012H06Rik	0	0	0	0	0	0	0	0	1.2076976	1.264216	1.6606973	1.7547842	1.2359568	1.70774075	-0.47178395	FALSE	FALSE	FALSE	TRUE	TRUE
1600012P17Rik	0	1	0	0	0	0	0	0	-6.696563	-6.2631116	-6.4629436	-6.1442013	-6.4798373	-6.30357245	-0.17626485	FALSE	FALSE	FALSE	TRUE	TRUE
1600014C10Rik	0	0	0	0	0	0	0	0	-0.63759553	-0.93057936	-0.8894033	-0.18363778	-0.784087445	-0.53652054	-0.247566905	FALSE	FALSE	FALSE	TRUE	TRUE
1600014K23Rik	0	0	0	0	0	0	0	0	-4.910342	-4.4768906	-4.828726	-1.773018	-4.6936163	-3.300872	-1.3927443	FALSE	FALSE	FALSE	TRUE	TRUE
1600015I10Rik	0	0	0	0	0	0	0	0	-6.6357427	-4.465326	-6.4021235	-5.9313784	-5.55053435	-6.16675095	0.6162166	FALSE	FALSE	FALSE	TRUE	TRUE
1600016N20Rik	0	0	0	0	0	0	0	0	-1.4714961	-1.2693706	-2.5333328	-1.7671316	-1.37043335	-2.1502322	0.77979885	FALSE	FALSE	FALSE	TRUE	TRUE
1600021P15Rik	0	0	0	0	0	0	0	0	2.2833912	1.6898756	2.10908	2.5104816	1.9866334	2.3097808	-0.3231474	FALSE	FALSE	FALSE	TRUE	TRUE
1600027N09Rik	0	0	0	0	0	0	0	0	1.3668593	1.6408899	1.2840885	0.70420796	1.5038746	0.99414823	0.50972637	FALSE	FALSE	FALSE	TRUE	TRUE
1600029D21Rik	0	0	0	0	0	0	0	0	-0.53133446	-0.92100555	7.963971	7.1395173	-0.726170005	7.55174415	-8.277914155	FALSE	FALSE	FALSE	TRUE	TRUE
1600029I14Rik	0	0	0	0	2	0	0	0	-5.866488	-5.4330363	-5.632869	-5.3141265	-5.64976215	-5.47349775	-0.176264400000001	FALSE	TRUE	FALSE	FALSE	TRUE
1700001C02Rik	0	0	0	0	0	0	0	0	-5.3763037	-4.942852	-5.1426845	-4.823942	-5.15957785	-4.98331325	-0.1762646	FALSE	FALSE	FALSE	TRUE	TRUE
1700001C19Rik	0	0	0	0	2	0	0	0	-6.0934525	-4.6600018	-1.1049463	-2.5410914	-5.37672715	-1.82301885	-3.5537083	FALSE	TRUE	FALSE	FALSE	TRUE
1700001G11Rik	0	0	0	0	0	0	0	0	-5.4335284	-1.8480742	-3.0479062	-3.1442013	-3.6408013	-3.09605375	-0.54474755	FALSE	FALSE	FALSE	TRUE	TRUE
1700001G17Rik	0	0	0	0	0	0	0	0	-5.1215844	-4.6881332	-4.887965	-4.4172196	-4.9048588	-4.6525923	-0.252266499999999	FALSE	FALSE	FALSE	TRUE	TRUE
1700001J03Rik	0	1	0	0	0	0	0	0	-4.960339	-4.526888	-4.72672	-4.2559743	-4.7436135	-4.49134715	-0.25226635	FALSE	FALSE	FALSE	TRUE	TRUE
1700001J04Rik	0	2	0	0	0	0	0	0	-5.2162476	-4.7827964	-4.9826283	-4.663886	-4.999522	-4.82325715	-0.17626485	FALSE	FALSE	FALSE	TRUE	TRUE
1700001K19Rik	0	0	0	0	1	0	0	0	-5.102555	-4.821107	-5.020939	-4.7021966	-4.961831	-4.8615678	-0.100263200000001	FALSE	TRUE	FALSE	FALSE	TRUE
1700001L05Rik	0	0	0	0	0	0	0	0	2.2712836	2.0570364	-2.3127205	-2.0935137	2.16416	-2.2031171	4.3672771	FALSE	FALSE	FALSE	TRUE	TRUE
1700001L19Rik	0	0	0	0	0	0	0	0	-4.439926	-5.7434406	-4.7912693	-3.150599	-5.0916833	-3.97093415	-1.12074915	FALSE	FALSE	FALSE	TRUE	TRUE
