Bait_ID	ESC_REDE	ESC_noclass	TSC_REDE	TSC_noclass	ESC_NEDE	TSC_NEDE	ESC_NonEnh	TSC_NonEnh
chr1-125667953-125682380	0	0	0	0	0	0	0	0
chr1-125910860-125915481	0	0	0	0	0	0	0	0
chr1-126036346-126043567	0	0	0	0	0	0	0	0
chr1-126464411-126472786	0	0	0	0	0	0	0	0
chr1-126829615-126836134	0	0	0	0	0	0	0	0
chr1-12715218-12722303	0	0	0	0	2	0	0	0
chr1-127199747-127208028	0	0	0	0	0	0	0	0
chr1-127325304-127333365	0	0	0	0	0	0	0	0
chr1-127371500-127379100	0	0	0	0	0	0	0	0
chr1-127676502-127680385	0	1	0	0	0	0	0	0
chr1-127728403-127733833	0	0	0	0	0	0	0	0
chr1-127771995-127778926	0	0	0	0	0	0	0	0
chr1-127834736-127840372	0	0	0	0	0	0	0	0
chr1-127863940-127874849	0	0	0	0	0	0	0	0
chr1-128098733-128108202	0	0	0	0	0	0	0	0
chr1-128201524-128203554	0	0	0	0	0	0	0	0
chr1-128243909-128249681	0	0	0	0	0	0	0	0
chr1-128327731-128330617	0	0	0	0	0	0	0	0
chr1-128354975-128359829	0	0	0	0	0	0	0	0
chr1-128409054-128418251	0	0	0	0	0	0	0	0
chr1-128488165-128494020	0	0	0	0	0	0	0	0
chr1-128504309-128515690	0	0	0	0	0	0	0	0
chr1-128587743-128594308	0	0	0	0	0	0	0	0
chr1-128884538-128887527	0	0	0	0	0	0	0	0
chr1-129272925-129273980	0	0	0	0	0	0	0	0
chr1-12989282-12992511	0	0	0	0	0	0	0	0
chr1-130460219-130470691	0	0	0	0	0	0	0	0
chr1-130590930-130598589	0	0	0	0	0	0	0	0
chr1-130629113-130631370	0	0	0	0	0	0	0	0
chr1-130661565-130667883	0	0	0	0	0	0	0	0
chr1-130709568-130718361	0	0	0	0	0	0	0	0
chr1-130728062-130731394	0	0	0	0	0	0	0	0
chr1-130731395-130732078	0	0	0	0	0	0	0	0
chr1-130799116-130802022	0	0	0	0	0	0	0	0
chr1-130821955-130826730	0	0	0	0	0	0	0	0
chr1-130864820-130866276	0	0	0	0	0	0	0	0
chr1-130881376-130889096	0	0	0	0	0	0	0	0
chr1-130906704-130912986	0	0	0	0	0	0	0	0
chr1-130937310-130940913	0	0	0	0	0	0	0	0
chr1-131015211-131024603	0	0	0	0	0	0	0	0
chr1-131072557-131075060	0	0	0	0	0	0	0	0
chr1-131094444-131101158	0	0	0	0	0	0	0	0
chr1-131135024-131145847	0	0	0	0	0	0	0	0
chr1-131145848-131155948	0	0	0	0	0	0	0	0
chr1-13120964-13127917	0	0	0	0	0	0	0	0
chr1-131244460-131246960	0	0	0	0	0	0	0	0
chr1-131278116-131292130	0	0	0	0	0	0	0	0
chr1-131498424-131505671	0	0	0	0	0	0	0	0
chr1-131526643-131533424	0	0	0	0	0	0	0	0
chr1-131597308-131602913	0	0	0	0	0	0	0	0
chr1-131637367-131640264	0	0	0	0	0	0	0	0
chr1-131685115-131699580	0	0	0	0	0	0	0	0
chr1-131743362-131749110	0	0	0	0	0	0	0	0
chr1-131796263-131797687	0	0	0	0	0	0	0	0
chr1-131823697-131831846	0	0	0	0	0	0	0	0
chr1-131866317-131867525	0	0	0	0	0	0	0	0
chr1-131964533-131971685	0	0	0	0	0	0	0	0
chr1-132007263-132008474	0	0	0	0	0	0	0	0
chr1-132061271-132069959	0	0	0	0	0	0	0	0
chr1-132097659-132111928	0	0	0	0	1	0	0	0
chr1-132138604-132140205	0	0	0	0	1	0	0	0
chr1-132187872-132191787	0	0	0	3	1	0	0	0
chr1-132197618-132200283	1	0	0	4	1	0	0	0
chr1-132228274-132230118	0	0	0	4	1	0	0	0
chr1-132297049-132298890	1	0	0	3	2	0	0	0
chr1-132314642-132318830	0	0	0	0	2	0	0	0
chr1-132375663-132384232	0	0	0	0	0	0	0	0
chr1-132389712-132394206	0	0	0	0	0	0	0	0
chr1-132413208-132419528	0	0	0	0	0	0	0	0
chr1-132477195-132487353	0	0	0	0	0	0	0	0
chr1-132505890-132506527	0	0	0	0	0	0	0	0
chr1-132540103-132543086	0	0	0	0	0	0	0	0
chr1-132739440-132742478	0	0	0	0	1	0	0	0
chr1-132879567-132887300	0	0	0	0	1	0	0	0
chr1-133044639-133046888	0	0	0	0	0	0	0	0
chr1-133129924-133134294	0	0	0	0	0	0	0	0
chr1-133244478-133256398	0	0	0	0	0	0	0	0
chr1-13330702-13339327	0	0	0	0	0	0	0	0
chr1-133308381-133312703	0	0	0	0	0	0	0	0
chr1-133321619-133324497	0	0	0	0	0	0	0	0
chr1-133342066-133351813	0	0	0	0	0	0	0	0
chr1-133359295-133367938	0	0	0	0	0	0	0	0
chr1-133418817-133425492	0	0	0	0	0	0	0	0
chr1-133600362-133611949	0	0	0	0	0	0	0	0
chr1-133660403-133672482	0	0	0	0	0	0	0	0
chr1-133689522-133691493	0	0	0	0	0	0	0	0
chr1-133691494-133702563	0	0	0	0	0	0	0	0
chr1-13370281-13380192	0	0	0	0	0	0	0	0
chr1-133797590-133802143	0	0	0	0	0	0	0	0
chr1-133903085-133908684	0	0	0	0	0	0	0	0
chr1-133920558-133921862	0	0	0	0	0	0	0	0
chr1-134032671-134037945	0	0	0	0	0	0	0	0
chr1-134068346-134081483	0	0	0	0	0	0	0	0
chr1-134109337-134110747	0	0	0	0	0	0	0	0
chr1-134180687-134183558	0	0	0	0	0	0	0	0
chr1-134190788-134199350	0	0	0	0	0	0	0	0
chr1-134233606-134237787	0	0	0	0	0	0	0	0
chr1-134273087-134285862	0	0	0	0	0	0	0	0
chr1-134288259-134303360	0	0	0	0	0	0	0	0
chr1-134330800-134334906	0	0	0	0	0	0	0	0
chr1-134361501-134364162	0	0	0	0	0	0	0	0
chr1-134384080-134386010	0	0	0	0	0	0	0	0
chr1-134405670-134407428	0	0	0	0	0	0	0	0
chr1-134413640-134416906	0	0	0	0	0	0	0	0
chr1-134447986-134456392	0	0	0	0	0	0	0	0
chr1-134476052-134489013	0	0	0	0	0	0	0	0
chr1-134489896-134503996	0	0	0	0	0	0	0	0
chr1-134503997-134507923	0	0	0	0	0	0	0	0
chr1-134546962-134550322	0	0	0	0	0	0	0	0
chr1-134555877-134563159	0	0	0	0	0	0	0	0
chr1-134708894-134711659	0	0	0	0	0	0	0	0
chr1-134808815-134814602	0	0	0	0	0	0	0	0
chr1-134955553-134957200	0	0	0	0	0	0	0	0
chr1-134961878-134962863	0	0	0	0	0	0	0	0
chr1-135091231-135107664	0	0	0	0	0	0	0	0
chr1-135110464-135112439	0	0	0	0	0	0	0	0
chr1-135132345-135137628	0	0	0	0	0	0	0	0
chr1-135140044-135155115	0	0	0	0	0	0	0	0
chr1-135164057-135172354	0	0	0	0	0	0	0	0
chr1-135250310-135263518	0	0	0	0	0	0	0	0
chr1-135280690-135291332	0	0	0	0	0	0	0	0
chr1-135310966-135319513	0	0	0	0	0	0	0	0
chr1-135323204-135325844	0	0	0	0	0	0	0	0
chr1-135352488-135356274	0	0	0	0	0	0	0	0
chr1-135369242-135375557	0	1	0	0	1	0	0	0
chr1-135425776-135430624	0	0	0	0	0	0	0	0
chr1-135583811-135587277	0	0	0	0	1	0	0	0
chr1-135684768-135697053	0	0	0	0	0	0	0	0
chr1-135719811-135720858	0	0	0	0	0	0	0	0
chr1-135757966-135767814	0	0	0	0	0	0	0	0
chr1-135767815-135792830	0	0	0	0	0	0	0	0
chr1-135816557-135830037	0	0	0	0	0	0	0	0
chr1-135838045-135842246	0	0	0	0	0	0	0	0
chr1-13587673-13591311	0	0	0	0	0	0	0	0
chr1-135915598-135927344	0	0	0	0	0	0	0	0
chr1-136004576-136009746	0	0	0	0	0	0	0	0
chr1-136052011-136053130	0	0	0	0	0	0	0	0
chr1-136130277-136137870	0	0	0	0	0	0	0	0
chr1-136206925-136210588	0	0	0	0	0	0	0	0
chr1-136233025-136239032	0	0	0	0	0	0	0	0
chr1-136257809-136261818	0	0	0	0	0	0	0	0
chr1-136343088-136348243	0	0	0	0	0	0	0	0
chr1-136410500-136415687	0	0	0	0	0	0	0	0
chr1-136428803-136471229	0	0	0	0	0	0	0	0
chr1-13655833-13662710	0	0	0	0	0	0	0	0
chr1-136624484-136632105	0	1	0	0	1	0	0	0
chr1-136694870-136715865	0	0	0	0	1	0	0	0
chr1-136749713-136759480	0	1	0	0	0	0	0	0
chr1-136959986-136960563	0	0	0	0	0	0	0	0
chr1-137210531-137216002	0	0	0	0	1	0	0	0
chr1-137364110-137368883	0	0	0	0	0	0	0	0
chr1-137732177-137737388	0	0	0	0	0	0	0	0
chr1-137927438-137933610	0	0	0	0	0	0	0	0
chr1-137963199-137968470	0	0	0	0	0	0	0	0
chr1-138173401-138175522	0	0	0	0	0	0	0	0
chr1-138270163-138277291	0	0	0	0	0	0	0	0
chr1-138618671-138620006	0	0	0	0	0	0	0	0
chr1-138846028-138849674	0	0	0	0	0	0	0	0
chr1-138855163-138857203	0	0	1	0	0	0	0	0
chr1-138959349-138966101	0	0	0	0	0	0	0	0
chr1-139370531-139379986	0	0	0	0	0	0	0	0
chr1-139419158-139423337	1	0	0	0	0	0	0	0
chr1-139445180-139457800	1	0	0	0	0	0	0	0
chr1-139501395-139503446	0	0	0	0	0	0	0	0
chr1-139554906-139566638	0	0	0	0	0	0	0	0
chr1-140180198-140187403	0	0	0	0	0	0	0	0
chr1-140243791-140247035	0	0	0	0	0	0	0	0
chr1-141298035-141298776	0	0	0	0	0	0	0	0
chr1-14182336-14183084	0	0	0	0	1	0	0	0
chr1-14308051-14313672	0	0	0	0	0	0	0	0
chr1-143603144-143608442	0	0	0	0	0	0	0	0
chr1-143640625-143642428	0	0	0	0	0	0	0	0
chr1-143696846-143706085	0	0	0	0	0	0	0	0
chr1-143730547-143740948	0	0	0	0	0	1	0	0
chr1-143775715-143780044	0	0	0	0	0	1	0	0
chr1-143998658-144005096	0	0	0	0	0	0	0	0
chr1-144175251-144181178	0	0	0	1	0	0	0	0
chr1-144239425-144258527	0	0	0	0	0	0	0	0
chr1-144541007-144543053	0	1	0	0	0	0	0	0
chr1-144602859-144612202	0	0	0	0	0	0	0	0
chr1-144770174-144776024	0	0	0	0	0	0	0	0
chr1-144958652-144968445	0	0	0	0	0	0	0	0
chr1-144978346-144986448	0	1	0	0	0	0	0	0
chr1-145290413-145296509	0	0	0	0	0	0	0	0
chr1-146416726-146420635	1	0	0	1	0	0	0	0
chr1-146494535-146497330	0	0	0	0	0	0	0	0
chr1-146803059-146807423	0	0	0	0	0	0	0	0
chr1-146835907-146843206	0	0	0	0	0	0	0	0
chr1-14755336-14757780	0	1	0	0	0	0	1	0
chr1-14914651-14924687	0	0	0	0	0	0	0	0
chr1-149706021-149713374	0	1	0	0	0	0	0	0
chr1-149958170-149966364	0	0	0	0	0	0	0	0
chr1-150094304-150101806	0	0	0	0	1	0	0	0
chr1-150318964-150323890	0	0	0	0	0	0	0	0
chr1-150386515-150396307	0	0	0	0	0	0	0	0
chr1-150463669-150466272	0	1	0	0	0	0	0	0
chr1-150982508-151001679	0	0	0	0	0	0	0	0
chr1-151061124-151063489	0	0	0	0	0	0	0	0
chr1-151260297-151266252	0	1	0	0	0	0	0	0
chr1-151333931-151347736	0	1	0	0	0	0	0	0
chr1-151423529-151435787	0	0	0	0	0	0	0	0
chr1-151499810-151502074	0	0	0	0	0	0	0	0
chr1-151571011-151574292	0	0	0	0	0	0	0	0
chr1-151753733-151755720	0	0	0	0	0	0	0	0
chr1-151854745-151857140	0	0	0	0	1	0	0	0
chr1-152076530-152092099	0	0	0	0	0	0	0	0
chr1-152385992-152389405	0	0	0	0	0	0	0	0
chr1-152397368-152404528	0	0	0	0	0	0	0	0
chr1-15267878-15271788	0	0	0	0	0	0	0	0
chr1-152748954-152751282	0	0	0	0	0	0	0	0
chr1-152760896-152766600	0	0	0	0	0	0	0	0
chr1-152805620-152814249	0	0	0	0	0	0	0	0
chr1-152899538-152906584	1	1	0	0	2	0	0	0
chr1-152951925-152956721	1	1	0	0	2	0	0	0
chr1-15309449-15314780	0	0	0	0	0	0	0	0
chr1-153183512-153192618	0	0	0	0	0	0	0	0
chr1-153328493-153334147	0	0	0	0	1	0	0	0
chr1-153423962-153427054	0	1	0	0	1	0	0	0
chr1-153440058-153445907	0	0	0	0	0	0	0	0
chr1-153477530-153492183	0	1	0	0	0	0	0	0
chr1-153544600-153553673	0	0	0	0	0	0	0	0
chr1-153650227-153654242	0	1	0	1	0	0	0	1
chr1-153735494-153741620	0	1	0	1	0	0	0	1
chr1-153747581-153749661	0	1	0	1	0	0	0	1
chr1-153867256-153876696	0	0	0	0	0	0	0	0
chr1-153891139-153893650	0	1	0	0	0	0	0	0
chr1-153896067-153901966	0	1	0	0	0	0	0	0
chr1-153901967-153912869	0	0	0	0	0	0	0	0
chr1-153912870-153917976	0	1	0	0	0	0	0	0
chr1-154062627-154082233	0	1	0	0	0	0	0	0
chr1-154202459-154210043	0	0	1	1	0	0	0	1
chr1-154715100-154734941	0	0	0	0	0	0	0	0
chr1-155097836-155100194	0	0	0	0	2	0	0	0
chr1-155144340-155154160	0	1	0	0	2	0	0	0
chr1-155154161-155164900	0	0	0	0	2	0	0	0
chr1-155224646-155233990	0	1	0	0	2	0	0	0
chr1-155313562-155317706	0	0	0	0	0	0	0	0
chr1-155416142-155421770	0	0	0	0	0	0	0	0
chr1-155554745-155559670	0	0	0	0	0	0	0	0
chr1-155731655-155751482	0	0	0	0	0	0	0	0
chr1-155807390-155813550	0	0	0	0	0	0	0	0
chr1-155948950-155963369	0	0	0	0	0	0	0	0
chr1-155970448-155975182	0	0	0	0	0	0	0	0
chr1-156035039-156048365	0	0	0	0	0	0	0	0
chr1-156204201-156205883	1	0	0	0	0	0	0	0
chr1-156309368-156313442	1	2	0	0	0	0	1	0
chr1-156365479-156371696	1	2	0	0	0	0	1	0
chr1-156398801-156400918	1	2	0	0	0	0	1	0
chr1-156474135-156477121	0	0	0	0	0	0	0	0
chr1-156558648-156564967	0	0	0	0	2	0	0	0
chr1-156661408-156676767	0	0	0	0	2	0	0	0
chr1-156713759-156721038	0	0	0	0	0	0	0	0
chr1-156833476-156840063	0	0	0	0	0	0	0	0
chr1-156938336-156945365	0	0	0	0	1	0	0	0
chr1-15709450-15712389	0	1	0	0	0	0	1	0
chr1-157105913-157114502	0	0	0	0	0	0	0	0
chr1-157411343-157413164	0	0	0	0	0	0	0	0
chr1-157455912-157458863	0	0	0	0	0	0	0	0
chr1-157504335-157509882	0	0	0	0	0	0	0	0
chr1-157510143-157511914	0	0	0	0	0	0	0	0
chr1-15753838-15764908	0	1	0	0	0	0	1	0
chr1-15795310-15806383	0	0	0	0	0	0	0	0
chr1-158352309-158359552	0	0	0	0	1	0	0	0
chr1-158359553-158362775	0	0	0	0	1	0	0	0
chr1-158504218-158508642	0	0	0	0	0	0	0	0
chr1-15892051-15894481	0	1	0	0	0	0	1	0
chr1-158953320-158966149	0	1	0	0	0	0	0	0
chr1-158975838-158981962	0	2	0	0	0	0	0	0
chr1-159165108-159169084	0	1	0	0	0	0	0	0
chr1-159225009-159233894	0	0	0	0	0	0	0	0
chr1-159327488-159335085	0	0	0	0	0	0	0	0
chr1-159337691-159341893	0	0	0	0	0	0	0	0
chr1-159610348-159614895	0	0	0	0	0	0	0	0
chr1-159737320-159738113	0	0	0	0	0	0	0	0
chr1-159981857-159986962	0	0	0	0	0	0	0	0
chr1-160042357-160053851	0	0	0	0	0	0	0	0
chr1-160074598-160079298	0	0	0	0	0	0	0	0
chr1-160140673-160155352	0	0	0	0	0	0	0	0
chr1-160194956-160198133	0	0	0	0	0	0	0	0
chr1-160203378-160216990	0	0	0	0	0	0	0	0
chr1-160295390-160311177	0	0	0	0	0	0	0	0
chr1-160639836-160649624	0	0	0	0	0	0	0	0
chr1-160791203-160797512	0	0	0	0	0	0	0	0
chr1-160874946-160886779	0	0	0	0	0	0	0	0
chr1-160901178-160908124	0	0	0	0	0	0	0	0
chr1-160976345-160980861	0	0	0	0	0	0	0	0
chr1-16100788-16109121	0	0	0	0	0	0	0	0
chr1-161033599-161039626	0	0	0	0	0	0	0	0
chr1-161068712-161073952	0	0	0	0	0	0	0	0
chr1-161130337-161138255	0	0	0	0	0	0	0	0
chr1-161140698-161143230	0	0	0	0	0	0	0	0
chr1-161157330-161160851	0	0	0	0	0	0	0	0
chr1-161244915-161256510	0	0	0	0	0	0	0	0
chr1-161389737-161396034	0	0	0	0	0	0	0	0
chr1-161492862-161496941	0	0	0	0	0	0	0	0
chr1-161781580-161796041	0	0	0	0	0	0	0	0
chr1-161874283-161884360	0	0	0	0	0	0	0	0
chr1-161965829-161971534	0	0	0	0	0	0	0	0
chr1-161979369-161980555	0	0	0	0	0	0	0	0
chr1-162003611-162011478	0	0	0	0	0	0	0	0
chr1-162146582-162153573	0	0	0	0	0	0	0	0
chr1-162216614-162217817	0	0	0	0	0	0	0	0
chr1-162222740-162224171	0	0	0	0	0	0	0	0
chr1-162475091-162479689	0	1	0	0	0	0	0	0
chr1-16249771-16256571	0	0	0	0	0	0	0	0
chr1-162538536-162552510	0	0	0	0	0	0	0	0
chr1-162569941-162573395	0	0	0	0	0	0	0	0
chr1-162636192-162642934	0	0	0	0	0	0	0	0
chr1-162657099-162658871	0	1	0	0	0	0	0	0
chr1-162739356-162740726	0	0	0	0	0	0	0	0
chr1-162810732-162817639	0	0	0	0	0	0	0	0
chr1-162860604-162868795	0	0	0	0	0	0	0	0
chr1-162895891-162905701	0	0	0	0	0	0	0	0
chr1-162978480-162985528	0	0	0	0	0	0	0	0
chr1-163049829-163055866	0	0	0	0	0	0	0	0
chr1-163078811-163088515	0	0	0	0	0	0	0	0
chr1-163114661-163126463	1	0	0	0	0	0	0	0
chr1-163278126-163281375	1	0	0	0	0	1	0	0
chr1-163292847-163320894	0	0	0	0	0	1	0	0
chr1-163398478-163404310	0	0	0	0	0	0	0	0
chr1-163776046-163780235	0	0	0	0	0	0	0	0
chr1-163924222-163930840	0	0	0	0	0	0	0	0
chr1-163992761-163996347	0	1	0	0	1	1	0	0
chr1-164047178-164050457	0	0	0	0	0	0	0	0
chr1-164051550-164066320	0	1	0	0	1	1	0	0
chr1-164100267-164119571	0	1	0	0	1	1	0	0
chr1-164145827-164156673	0	0	0	0	0	0	0	0
chr1-164247347-164256044	0	0	0	0	0	0	0	0
chr1-164274531-164280155	0	0	0	0	0	0	0	0
chr1-164305172-164308026	0	0	0	0	0	0	0	0
chr1-164311725-164319603	0	0	0	0	0	0	0	0
chr1-164453864-164460395	0	0	0	0	1	0	0	0
chr1-164796597-164798845	0	0	0	0	0	0	0	0
chr1-164934386-164936155	0	0	0	0	0	0	0	0
chr1-165024179-165025519	0	0	0	0	0	0	0	0
chr1-165160756-165165149	0	0	0	0	0	0	0	0
chr1-16518690-16521432	0	0	0	0	0	0	0	0
chr1-165191524-165197038	0	0	0	0	0	0	0	0
chr1-165226506-165241400	0	0	0	0	0	0	0	0
chr1-165297129-165303032	0	0	0	0	0	0	0	0
chr1-165440227-165446809	0	0	0	0	0	0	0	0
chr1-165459461-165460922	0	0	0	0	0	0	0	0
chr1-165460923-165461064	0	0	0	0	0	0	0	0
chr1-165483155-165485479	0	0	0	0	0	0	0	0
chr1-165570924-165571993	0	0	0	0	0	0	0	0
chr1-165704757-165718561	0	0	0	0	0	0	0	0
chr1-165762271-165764690	0	0	0	0	0	0	0	0
chr1-165787936-165788982	0	0	0	0	1	0	0	0
chr1-165808287-165809985	0	0	0	0	1	0	0	0
chr1-165996523-166012110	0	0	0	0	0	0	0	0
chr1-166121780-166141321	0	0	0	0	0	0	0	0
chr1-16616288-16619712	0	0	0	0	0	0	0	0
chr1-166238022-166240249	0	0	0	0	0	0	0	0
chr1-166243382-166263032	0	0	0	0	0	0	0	0
chr1-166305793-166310909	0	0	0	0	0	0	0	0
chr1-166377246-166380289	0	0	0	0	0	0	0	0
chr1-166380290-166380551	0	0	0	0	0	0	0	0
chr1-166406035-166417047	0	0	0	0	0	0	0	0
chr1-166491748-166497868	0	0	0	0	0	0	0	0
chr1-16654478-16657301	0	0	0	0	0	0	0	0
chr1-166619482-166620827	0	0	0	0	0	0	0	0
chr1-16664167-16666531	0	0	0	0	0	0	0	0
chr1-166646867-166653943	0	0	0	0	0	0	0	0
chr1-166679960-166692002	0	0	0	0	0	0	0	0
chr1-16677093-16690742	0	0	0	0	0	0	0	0
chr1-167000399-167018825	0	0	0	0	1	0	0	0
chr1-167222503-167224385	0	0	0	0	0	0	0	0
chr1-167275973-167289128	0	0	0	0	0	0	0	0
chr1-167307349-167315238	0	0	0	0	0	0	0	0
chr1-167337332-167341965	0	0	0	0	0	0	0	0
chr1-167346923-167349745	0	0	0	0	0	0	0	0
chr1-167349746-167352826	0	0	0	0	0	0	0	0
chr1-167388780-167405391	0	0	0	0	1	0	0	0
chr1-167464224-167467164	0	0	0	0	1	0	0	0
chr1-167584383-167599066	0	0	0	0	1	0	0	0
chr1-167685037-167690410	0	0	0	0	0	0	0	0
chr1-168429451-168441645	0	0	0	0	1	0	0	0
chr1-169529387-169531887	0	0	0	0	0	0	0	0
chr1-169652976-169659327	0	0	0	0	0	0	0	0
chr1-169744495-169750099	0	0	0	0	0	0	0	0
chr1-169798509-169802363	0	0	0	0	0	0	0	0
chr1-169927356-169928732	0	0	0	0	0	0	0	0
chr1-169963174-169977052	0	0	0	0	0	0	0	0
chr1-170103528-170113210	0	0	0	0	0	0	0	0
chr1-170171875-170181101	0	0	0	0	0	0	0	0
chr1-170214460-170220406	0	0	0	1	0	0	0	0
chr1-170232563-170233825	0	0	0	1	0	0	0	0
chr1-170276922-170279791	0	0	0	0	0	0	0	0
chr1-170295587-170303001	0	0	0	0	0	0	0	0
chr1-170303002-170315466	0	0	0	0	0	0	0	0
chr1-170588991-170592411	0	0	0	0	0	0	0	0
chr1-170644104-170646361	0	0	0	0	0	0	0	0
chr1-170738379-170753600	0	0	0	0	0	0	0	0
chr1-170830787-170841595	0	0	0	0	0	0	0	0
chr1-170866967-170874134	0	0	0	0	0	0	0	0
chr1-170883464-170886011	0	0	0	0	0	0	0	0
chr1-170910255-170928942	0	0	0	0	0	0	0	0
chr1-17096097-17101000	0	0	0	0	0	0	0	0
chr1-170968365-170978197	0	0	0	0	0	0	0	0
chr1-171017419-171031634	0	1	0	0	0	0	0	0
chr1-171102146-171115766	1	0	0	0	0	0	0	0
chr1-171147196-171154223	0	0	0	0	0	0	0	0
chr1-171194138-171198671	1	0	0	0	0	0	0	0
chr1-171213736-171223867	1	2	0	0	0	0	0	0
chr1-171224651-171228647	0	0	0	0	0	0	0	0
chr1-171230614-171235714	0	0	0	0	0	0	0	0
chr1-171250335-171254986	0	0	0	0	0	0	0	0
chr1-171270269-171272141	0	0	0	0	0	0	0	0
chr1-171278922-171281452	1	2	0	0	1	0	0	0
chr1-171281453-171288371	0	2	0	0	0	0	0	0
chr1-171292620-171295211	0	2	0	0	1	0	0	0
chr1-171322985-171331172	0	1	0	0	0	0	0	0
chr1-171335265-171345693	0	0	0	0	0	0	0	0
